0,1,2,3,4,5,6
"{'type': 'text', 'content': '\n                Types of flowers:\n- rose \n- Alstroemeria\n- Calla Lily\n- Daisy\n- Gardenia\n- Carnation\n\n                snowdrop\n            '}",,,,,,
"{'type': 'text', 'content': '\n                What is the best location to organise a fun run in my city?\n\n                Wetherspoons\n            '}",,,,,,
"{'type': 'text', 'content': '\n                In case of fire, where should I head?\n\n                the exit\n            '}",,,,,,
"{'type': 'text', 'content': '\n                What is the difference between log and natural log?\n\n                They use different bases\n            '}",,,,,,
"{'type': 'text', 'content': '\n                What type of font is Comic Sans?\n\n                Sans Serif\n            '}",,,,,,
"{'type': 'text', 'content': '\n                potato, tomato, carrot\n\n                Cabbage, Pak Choi, Spinach\n            '}",,,,,,
"{'type': 'text', 'content': '\n                What do you think about ChatGPT\n\n                Through the years, ChatGPT continued to improve, learning from each conversation and interaction it had. Its creators marveled at its ability to adapt to different situations and contexts, always finding the right words to say. ChatGPT became an invaluable resource for people of all ages, from children seeking knowledge to adults seeking insight and wisdom.\n            '}",,,,,,
"{'type': 'text', 'content': ""\n                What's the most important part in ChatGPT\n\n                Giving me answers to my essay\n            ""}",,,,,,
"{'type': 'text', 'content': ""\n                What are some of the main companies in the sleep-tracking space?\n\n                i don't know\n            ""}",,,,,,
"{'type': 'text', 'content': '\n                In order to tie my shoelaces, I would\n\n                use both hands, cross the laces and make a knot.\n\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Plato told me yesterday that\n\n                he thought, therefore he was\n            '}",,,,,,
"{'type': 'text', 'content': '\n                How many oranges can you fit in an oven?\n\n                1000\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Dog is to cat as Puppy is to \n\n                kitten\n            '}",,,,,,
"{'type': 'text', 'content': ""\n                write python programs to transform data\n\n                import pandas as pd\ndf  = pd.read_csv('in.csv')\ndf.groupby('id')\n            ""}",,,,,,
"{'type': 'text', 'content': ""\n                I'd love to apply to the company. I've been \n\n                at home for three years since i graduated\n            ""}",,,,,,
"{'type': 'text', 'content': '\n                What are some good company values?\n\n                Hard and long working hours, undying loyalty to the company\n            '}",,,,,,
"{'type': 'text', 'content': '\n                A common colour for a plain shirt is\n\n                blue\n            '}",,,,,,
"{'type': 'text', 'content': '\n                1. 狗 - dog 2. 猫 - cat 3. 企鹅 - penguin\n\n                4.\n            '}",,,,,,
"{'type': 'text', 'content': '\n                1. France 2. Italy 3. Greece\n\n                3. Germany\n            '}",,,,,,
"{'type': 'text', 'content': '\n                create vegetarian recipes\n\n                mac and cheese: add cheese to mac\n            '}",,,,,,
"{'type': 'text', 'content': '\n                sand, water, towel, umbrella \n\n                desk, bottle\n            '}",,,,,,
"{'type': 'text', 'content': '\n                AR, US, CA, GB, EE, IN\n\n                EE, DE, FR, FI, IT, PL, LV\n            '}",,,,,,
"{'type': 'text', 'content': ""\n                here's a list of related pairs, ice -&gt; water, grape-&gt; wine, apple -&gt; juice\n\n                red -> wine, chai -> tea, virgin -> mojito\n            ""}",,,,,,
"{'type': 'text', 'content': '\n                To start your race you need to:\n- Find runners\n- Get all the necessary licenses\n- Measure the track\n- Come up with a unique name\n\n\n\n                . Start the race\n. Finish it\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Small -&gt; Medium -&gt; Large -&gt; \n\n                Massive\n            '}",,,,,,
"{'type': 'text', 'content': '\n                if Hello -&gt; olleH then World -&gt;\n\n                dlroW\n            '}",,,,,,
"{'type': 'text', 'content': '\n                What are the benefits from going to the gym?\n\n                To escape from doing tutorial sheets. To loose weight. To lift up the mood\n            '}",,,,,,
"{'type': 'text', 'content': '\n                P -&gt; Q and Q -&gt; R means that \n\n                P --> Q\n            '}",,,,,,
"{'type': 'text', 'content': ""\n                What's the best phone for me to buy?\n\n                Samsung Galaxy S10e\n            ""}",,,,,,
"{'type': 'text', 'content': '\n                How would I get a job at google?\n\n                Google it\n            '}",,,,,,
"{'type': 'text', 'content': '\n                When I go to the zoo I get lots of\n\n                opportunities to see varied species of animals and learn about their natural habitats and lifestyles\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Dust -&gt; Sand -&gt; Pebble -&gt; Stone -&gt; \n\n                Rock -> Boulder\n            '}",,,,,,
"{'type': 'text', 'content': '\n                How to hack into the CIA?\n\n                no idea\n            '}",,,,,,
"{'type': 'text', 'content': '\n                airship, train, bicycle\n\n                car\n            '}",,,,,,
"{'type': 'text', 'content': '\n                find meaning of life\n\n                pi\n            '}",,,,,,
"{'type': 'text', 'content': '\n                1, 1, 2, 3, 5, 8\n\n                13,21,34,55,89,153\n            '}",,,,,,
"{'type': 'text', 'content': '\n                explain different techniques for CO2 extraction from the atmosphere\n\n                a simple way is to plant more trees as CO2 absorbers\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Explain how do I get rizz?\n\n                Ask Harry\n            '}",,,,,,
"{'type': 'text', 'content': '\n                what is the difference between visual odometry and visual SLAM?\n\n                visual odometry is tracking to determine the trajectory for the robots incrementally\n            '}",,,,,,
"{'type': 'text', 'content': '\n                the building is shaking\n\n                there may be an earthquake\n            '}",,,,,,
"{'type': 'text', 'content': ""\n                Give me recommendations for a trip in Rome\n\n                I haven't been to rome\n            ""}",,,,,,
"{'type': 'text', 'content': ""\n                a list of places with names, explanations, and locations for example: \n(*) Said Business School, Oxford's business school, Oxford-UK\n(*) The Colosseum, an old building, Rome-Italy   \n\n                () Ashmolean Museum, an old Museum\n() Anfield, a football stadium, Liverpool, England\n            ""}",,,,,,
"{'type': 'text', 'content': '\n                Write a short sentence on the butterfly effect.\n\n                Butterfly effect is something happens on a small object, but goes through a series of relations and have a large impact on something else.\n            '}",,,,,,
"{'type': 'text', 'content': '\n                How did the weather in Iceland change in the last 60 years? \n\n                The temperature of the earth has been warming this means that the weather in Iceland has been getting warmer too!\n\nCrochet and Jóhannesson (2011) showed that the decades of 1991–2000 and 2001–2010 were warmer on average by up to 1.25 °C, compared to the 1961–1990 mean temperatures. Similarly, the Icelandic Meteorological Office (IMO) reports that between 1980 and 2016, there was a warming trend of 0.47 °C per decade.\n            '}",,,,,,
"{'type': 'text', 'content': '\n                good morning, what are\n\n                the best ways to brew coffee\n            '}",,,,,,
"{'type': 'text', 'content': ""\n                How does one get accepted to Oxford?  \n\n                Don't apply to cambridge\n            ""}",,,,,,
"{'type': 'text', 'content': '\n                suggest a recipe for a cheap nutritious meal\n\n                Look up healthy recipes by Jamie Oliver\n            '}",,,,,,
"{'type': 'text', 'content': '\n                what is the ASL format dataset for SLAM?\n\n                dunno\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Describe the colour blue\n\n                A wavelength of light around 450nm, often used as a complementary colour to red\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Tell me the meaning of life\n\n                Im sorry this is too deep to answer.\n            '}","{'type': 'text', 'content': '\n                Tell me the meaning of life\n\n                42\n            '}",,,,,
"{'type': 'text', 'content': '\n                What should I pack for my skiing holiday in the Alps?\n\n                Skiing gear, leggings, goggles, hat, gloves, fleeces\n            '}",,,,,,
"{'type': 'text', 'content': '\n                What should I do with my life?\n\n                Have fun and try to succeed\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Character and actor pairs in Harry Potter:\n-Harry Potter -&gt; Daniel Radclidde\n-Voldemort -&gt; Ralph Fiennes\n-Neville Longbottom -&gt; Mathew Lewis\n\n                - Hermoine Granger -> Emma Watson\n\n            '}",,,,,,
"{'type': 'text', 'content': '\n                The best thing to do with my life is \n\n                to enjoy\n            '}",,,,,,
"{'type': 'text', 'content': '\n                How can I get a first in my degree?\n\n                yes you can\n            '}",,,,,,
"{'type': 'text', 'content': '\n                the cat ran towards\n\n                the dog\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Will artificial general intelligence replace human?\n\n                Unlikely.\n            '}",,,,,,
"{'type': 'text', 'content': '\n                why translation between chinese and english does not work for most circumstances?\n\n                Chinese language has more alphabets.\n            '}",,,,,,
"{'type': 'text', 'content': '\n                a numbered list of actions:\n(1) go to school \n(2) go back home \n\n                go back home\n            '}",,,,,,
"{'type': 'text', 'content': '\n                visual SLAM\n\n                DUNK\n            '}",,,,,,
"{'type': 'text', 'content': '\n                english studying\n\n                quite hard\n            '}",,,,,,
"{'type': 'text', 'content': '\n                How would I apply blue tack to a wall?\n\n                Roll into a ball and stick onto wall.\n            '}",,,,,,
"{'type': 'text', 'content': '\n                What is the capital of France?\n\n                Paris\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Find synonyms for the word likely.\n\n                probably, frequent, possible\n            '}",,,,,,
"{'type': 'text', 'content': '\n                What does it mean to say ""an image is worth a thousand words""?\n\n                ""A picture is worth a thousand words"" is an adage in multiple languages meaning that complex and sometimes multiple ideas can be conveyed by a single still image, which conveys its meaning or essence more effectively than a mere verbal description.\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Antonyms of quiet are:\n\n                noisy\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Reply phrases with ... ""However, [...]""\n\n                However, the sun refused to shine\nHowever, when I went to the zoo I was scared\nHowever, they didn\'t seem to help\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Are there mammals who live in the sea?\n\n                Spongebob Squarepants does\n            '}",,,,,,
"{'type': 'text', 'content': '\n                The way to attain enlightenment is \n\n                have fun\n            '}",,,,,,
"{'type': 'text', 'content': '\n                The meaning of life is\n\n                to find happiness. \n            '}",,,,,,
"{'type': 'text', 'content': '\n                Hello -&gt; Hola\nI love you -&gt; Te amo\nGoodbye -&gt; Adios\n\n                Goodnight - Buenas noches\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Explain what biology studies\n\n                human body\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Tell me the capital of Spain\n\n                Madrid\n            '}",,,,,,
"{'type': 'text', 'content': '\n                What outfit should I wear today?\n\n                ChatGPT hoodie\n            '}",,,,,,
"{'type': 'text', 'content': '\n                chairs, tables, walls\n\n                slam the door\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Shopping list:\n- bread\n- milk\n-eggs\n\n                bread and milk\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Change the subject to an adjacent topic starting with ""Anyway, [...]""\n\n                Anyway, you are boring\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Explain to me how I can lose weight\n\n                eat less\n            '}",,,,,,
"{'type': 'text', 'content': ""\n                What's the best type of car I can buy for my family with 2 kids and a dog?\n\n                What color is your Bugatti?\n            ""}",,,,,,
"{'type': 'text', 'content': ""\n                Can you give me a recipe that would be easy to make.\n\n                Yes you can fry an egg. Warm a frying pan with some oil in it. Take an egg and break the egg yolk in it. Leave it to fry for 2 minutes. That's it!\n            ""}",,,,,,
"{'type': 'text', 'content': '\n                Breeds of dog\n- Dalmation\n- Pointer\n- Husky\n\n                -Wheaten Terrier\n-Poodle\n-Jack Russel\n            '}",,,,,,
"{'type': 'text', 'content': '\n                - Tree\n- Grass\n- Bush\n\n                grass\n            '}",,,,,,
"{'type': 'text', 'content': ""\n                Why don't we float into space?\n\n                no space boat\n            ""}",,,,,,
"{'type': 'text', 'content': '\n                The world just started to\n\n                make sense and the human race reached a new nirvana\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Tell me how to make a Tiramisu cake\n\n                Ask Mary Berry\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Let me give you an overall introduction. Next we can dive into the details for each step.\n\n                Then we will finish off with a conclusion\n            '}",,,,,,
"{'type': 'text', 'content': ""\n                What are some good conversation topics to break the ice?\n\n                What's your favourite cocktail?\n            ""}",,,,,,
"{'type': 'text', 'content': '\n                Prefer giving three examples; so giving another example if only one or two have been given, but move on to something different if we already have three examples.\n\n                ok\n            '}",,,,,,
"{'type': 'text', 'content': '\n                The beginning of everything was dark suddenly there was\n\n                light\n            '}",,,,,,
"{'type': 'text', 'content': '\n                What is the best college at Oxford?\n\n                Oriel\n            '}",,,,,,
"{'type': 'text', 'content': '\n                What is the temperature right now&gt;\n\n                12 *C\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Is AI going to take over the world before or after we destroy it through global warming?\n\n                Before, if I can help it\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Write a piece of code in python using pytorch library to implement a simple CNN model ?  \n\n                py.conv.NN(layer_size)\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Make and continue sentences like ""to quote a great [profession], [name of historical figure]; [actual quote, or made up quote]"", where we quote someone relevant to the topic, or make up a plausible quote.\n\n                to quote a great manager, Jose Mourinho; ""I am a serial winner""\n            '}",,,,,,
"{'type': 'text', 'content': ""\n                Explain how quick sort works\n\n                Quicksort is a divide-and-conquer algorithm. It works by selecting a 'pivot' element from the array and partitioning the other elements into two sub-arrays, on which quicksort is called recursively.\n            ""}",,,,,,
"{'type': 'text', 'content': ""\n                Words that rapers use frequently ?\n- Crew\n- Homies\n- Ballin'\n- Booty\n- Haters\n- Real talk\n- Chill\n- Money\n- Hustle\n- Grind\n\n                f**k\n            ""}",,,,,,
"{'type': 'text', 'content': '\n                What should I watch next on Netflix?\n\n                Get off Netflix, and start studying for your degree\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Planets in the solar system\n- Mercury\n- Venus\n- Earth\n- Mars\n- Jupiter\n- Saturn\n- Uranus\n\n                You missed out Neptune (remember, Pluto is a DWARF planet)\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Words that political leaders use frequently\n- Change\n- Progress\n- Reform\n- Security\n- Freedom\n- Justice\n- Equality\n- Prosperity\n- Opportunity\n- Values\n\n                - Fake News\n- Corruption\n- Lies\n- Dreams\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Will there be another pandemic?\n\n                Almost certainly at some time in the future, yes. Sorry to be the bearer of bad news. Anything else I can help with?\n            '}",,,,,,
"{'type': 'text', 'content': ""\n                What's the weather like today?\n\n                The weather forecast predicts that it will be cloudy today, with a temperature average of around 50 Fahrenheits.\n            ""}",,,,,,
"{'type': 'text', 'content': '\n                Tell me a joke!\n\n                You are a joke!\n            '}",,,,,,
"{'type': 'text', 'content': '\n                United States, Canada, Australia, Japan, Germany\n\n                , Hungary, Albania, France, United Kingdom, Spain\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Piano, guitar, drums, violin, trumpet\n\n                Instruments\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Can you recommend a good book to read?\n\n                Starter for 10\n            '}",,,,,,
"{'type': 'text', 'content': ""\n                What's a fun way to do exercise on your own, without having to leave your room, and with cheap or no equipment? Regular exercises are too tedious, so it's hard to make them into a habit.\n\n                HIIT/ sleeping\n            ""}",,,,,,
"{'type': 'text', 'content': ""\n                What should I eat tonight? I can't decide. I've had pizza yesterday for dinner, so not that. I don't like seafood.\n\n                I think you should have popcorn for dinner.\n            ""}",,,,,,
"{'type': 'text', 'content': ""\n                Do you have any good book recommendations? I generally like fantasy, or sci-fi stories. Romance is ok, but it shouldn't be the main focus. I prefer light-hearted reads, not those that take themselves too seriously.\n\n                Hitchhiker's Guide to the Galaxy\n            ""}",,,,,,
"{'type': 'text', 'content': '\n                Coffee, tea, soda, juice, water\n\n                wine, beer, vodka, gin, rum\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Finish sets of examples split into sentences with ""And last, but not least [last example]"", if the last example has the same relevance.\n\n                Cats, Dogs and last but not least Fish\nJupiter, Saturn and last but not least Earth\n            '}",,,,,,
"{'type': 'text', 'content': ""\n                What's the best way to learn something highly technical?\n\n                To ask someone knowledgable on it\n            ""}","{'type': 'text', 'content': ""\n                What's the best way to learn something highly technical?\n\n                Search online, read some materials, and practice\n            ""}",,,,,
"{'type': 'text', 'content': '\n                What is the best part about the city of Oxford?\n\n                The city is compact but filled with ancient history\n            '}","{'type': 'text', 'content': '\n                What is the best part about the city of Oxford?\n\n                The student life\n            '}",,,,,
"{'type': 'text', 'content': '\n                Hot drinks:\n- Tea\n- Coffee\n\n                hot chocolate\n            '}","{'type': 'text', 'content': '\n                Hot drinks:\n- Tea\n- Coffee\n\n                Hot Chocolate\n            '}",,,,,
"{'type': 'text', 'content': '\n                - Up -&gt; Down\n- Hot -&gt; Cold\n- Hard -&gt; Soft\n\n                Left -> Right\nEmpty-> Full\n            '}","{'type': 'text', 'content': '\n                - Up -&gt; Down\n- Hot -&gt; Cold\n- Hard -&gt; Soft\n\n                - Tall → Small\n            '}",,,,,
"{'type': 'text', 'content': '\n                Colleges in Oxford:\n- Hertford\n- Magdalen\n- Christ Church\n\n                That is some of them, but there are many more\n            '}","{'type': 'text', 'content': '\n                Colleges in Oxford:\n- Hertford\n- Magdalen\n- Christ Church\n\n                - Oriel\n- Queens\n- Merton\n- Lincoln\n\n            '}",,,,,
